datetime,side,pos_before,pos_after,price,equity_after
2025-11-21 15:00:00+00:00,BUY,0.0,0.17570930015321018,84616.1328125,9998.94574419908
2025-11-21 17:00:00+00:00,SELL,0.17570930015321018,0.0,84882.3125,10004.14547250981
2025-11-21 18:00:00+00:00,BUY,0.0,0.28452956043189426,83958.53125,10002.437587441536
2025-11-21 18:00:00+00:00,SELL,0.28452956043189426,0.0,84512.421875,10019.502328125143
2025-11-21 20:00:00+00:00,BUY,0.0,0.24362410809424162,83993.3671875,10018.037732734201
2025-11-21 21:00:00+00:00,BUY,0.24362410809424162,0.2509518237285313,84371.7578125,10028.988716453003
2025-11-21 22:00:00+00:00,SELL,0.2509518237285313,0.0,85207.3671875,10052.400951477657
2025-11-22 04:00:00+00:00,BUY,0.0,0.17570738921394735,84208.9453125,10051.341182801747
2025-11-22 05:00:00+00:00,SELL,0.17570738921394735,0.0,84159.3046875,10049.240534153683
2025-11-22 06:00:00+00:00,BUY,0.0,0.23973327391448773,84592.625,10047.79505175352
2025-11-22 08:00:00+00:00,SELL,0.23973327391448773,0.0,84418.4453125,10041.390691541023
2025-11-22 09:00:00+00:00,BUY,0.0,0.264682700694872,84001.3984375,10039.796022096842
2025-11-22 10:00:00+00:00,SELL,0.264682700694872,0.21439458028982217,83942.421875,10037.62744214296
2025-11-22 10:00:00+00:00,SELL,0.21439458028982217,0.0,83703.1484375,10030.202824363214
